epoch,accuracy,loss,learning_rate
0,0.420,1.099,0.05
5,0.542,0.719,0.0499999000002
10,0.567,0.697,0.0499997750010125
15,0.567,0.697,0.049999650002449984
20,0.582,0.694,0.04999952500451246
25,0.584,0.690,0.04999940000719992
30,0.584,0.686,0.04999927501051235
35,0.586,0.681,0.04999915001444976
40,0.586,0.677,0.04999902501901213
45,0.586,0.674,0.049998900024199475
50,0.586,0.673,0.049998775030011766
55,0.586,0.673,0.049998650036449016
60,0.586,0.672,0.049998525043511224
65,0.586,0.671,0.04999840005119836
70,0.586,0.671,0.049998275059510454
75,0.586,0.670,0.04999815006844747
80,0.586,0.669,0.04999802507800943
85,0.586,0.669,0.049997900088196295
90,0.586,0.668,0.0499977750990081
95,0.586,0.668,0.04999765011044482
100,0.586,0.667,0.04999752512250644
105,0.586,0.667,0.04999740013519297
110,0.586,0.666,0.04999727514850441
115,0.586,0.666,0.049997150162440746
120,0.586,0.666,0.04999702517700197
125,0.586,0.665,0.04999690019218808
130,0.586,0.665,0.04999677520799909
135,0.597,0.670,0.04999665022443497
140,0.586,0.665,0.049996525241495726
145,0.586,0.665,0.04999640025918134
150,0.590,0.665,0.049996275277491835
155,0.586,0.665,0.04999615029642718
160,0.590,0.664,0.04999602531598738
165,0.588,0.664,0.04999590033617244
170,0.588,0.664,0.04999577535698233
175,0.590,0.663,0.04999565037841708
180,0.590,0.663,0.04999552540047666
185,0.588,0.663,0.04999540042316107
190,0.590,0.663,0.04999527544647031
195,0.590,0.663,0.04999515047040437
200,0.590,0.662,0.04999502549496326
205,0.590,0.662,0.04999490052014695
210,0.590,0.662,0.04999477554595545
215,0.590,0.662,0.04999465057238875
220,0.590,0.662,0.049994525599446865
225,0.590,0.661,0.049994400627129766
230,0.597,0.666,0.04999427565543746
235,0.599,0.664,0.04999415068436994
240,0.590,0.662,0.049994025713927186
245,0.590,0.661,0.049993900744109226
250,0.590,0.660,0.04999377577491602
255,0.592,0.660,0.0499936508063476
260,0.592,0.660,0.049993525838403934
265,0.592,0.660,0.04999340087108502
270,0.592,0.659,0.04999327590439087
275,0.592,0.659,0.04999315093832145
280,0.592,0.659,0.04999302597287679
285,0.599,0.658,0.04999290100805685
290,0.599,0.658,0.04999277604386167
295,0.599,0.658,0.0499926510802912
300,0.601,0.658,0.049992526117345455
305,0.601,0.657,0.049992401155024443
310,0.605,0.657,0.04999227619332813
315,0.597,0.659,0.04999215123225654
320,0.605,0.657,0.049992026271809646
325,0.605,0.657,0.04999190131198746
330,0.599,0.658,0.04999177635278997
335,0.605,0.656,0.049991651394217164
340,0.605,0.656,0.04999152643626906
345,0.607,0.656,0.049991401478945624
350,0.605,0.655,0.04999127652224687
355,0.605,0.655,0.04999115156617279
360,0.605,0.655,0.04999102661072338
365,0.605,0.654,0.04999090165589863
370,0.607,0.654,0.04999077670169854
375,0.607,0.654,0.04999065174812311
380,0.607,0.654,0.04999052679517232
385,0.607,0.653,0.04999040184284618
390,0.613,0.655,0.04999027689114467
395,0.607,0.656,0.04999015194006781
400,0.605,0.655,0.04999002698961558
405,0.607,0.653,0.04998990203978796
410,0.607,0.652,0.04998977709058498
415,0.607,0.653,0.0499896521420066
420,0.607,0.652,0.04998952719405285
425,0.607,0.652,0.04998940224672369
430,0.607,0.652,0.04998927730001915
435,0.607,0.651,0.0499891523539392
440,0.607,0.651,0.04998902740848384
445,0.607,0.651,0.049988902463653076
450,0.607,0.651,0.049988777519446886
455,0.607,0.651,0.04998865257586528
460,0.609,0.653,0.049988527632908245
465,0.609,0.654,0.049988402690575785
470,0.613,0.653,0.049988277748867896
475,0.613,0.651,0.049988152807784555
480,0.613,0.650,0.049988027867325785
485,0.607,0.649,0.04998790292749155
490,0.607,0.649,0.04998777798828187
495,0.607,0.649,0.04998765304969672
500,0.607,0.649,0.049987528111736124
505,0.609,0.649,0.049987403174400064
510,0.607,0.648,0.049987278237688504
515,0.609,0.648,0.04998715330160149
520,0.609,0.650,0.04998702836613898
525,0.702,0.655,0.049986903431301
530,0.611,0.652,0.049986778497087526
535,0.613,0.649,0.049986653563498545
540,0.613,0.648,0.04998652863053408
545,0.609,0.647,0.04998640369819409
550,0.609,0.647,0.049986278766478605
555,0.609,0.647,0.0499861538353876
560,0.609,0.647,0.04998602890492108
565,0.609,0.646,0.04998590397507904
570,0.609,0.646,0.049985779045861455
575,0.609,0.646,0.04998565411726835
580,0.607,0.646,0.049985529189299695
585,0.613,0.645,0.04998540426195552
590,0.609,0.645,0.04998527933523577
595,0.607,0.645,0.04998515440914049
600,0.613,0.645,0.049985029483669646
605,0.609,0.645,0.049984904558823234
610,0.218,0.655,0.04998477963460127
615,0.611,0.647,0.04998465471100372
620,0.611,0.646,0.04998452978803061
625,0.609,0.646,0.049984404865681904
630,0.613,0.644,0.04998427994395763
635,0.616,0.643,0.04998415502285776
640,0.609,0.643,0.04998403010238229
645,0.609,0.643,0.049983905182531235
650,0.609,0.642,0.04998378026330456
655,0.609,0.642,0.04998365534470228
660,0.611,0.642,0.04998353042672439
665,0.616,0.641,0.04998340550937089
670,0.616,0.641,0.04998328059264177
675,0.616,0.641,0.04998315567653701
680,0.616,0.640,0.049983030761056625
685,0.616,0.640,0.049982905846200604
690,0.613,0.640,0.049982780931968944
695,0.609,0.640,0.04998265601836163
700,0.616,0.639,0.049982531105378675
705,0.616,0.639,0.049982406193020065
710,0.689,0.644,0.04998228128128579
715,0.609,0.640,0.049982156370175855
720,0.609,0.640,0.04998203145969024
725,0.609,0.638,0.04998190654982897
730,0.616,0.638,0.049981781640592
735,0.616,0.637,0.049981656731979365
740,0.616,0.637,0.04998153182399104
745,0.616,0.637,0.049981406916627016
750,0.616,0.636,0.0499812820098873
755,0.616,0.636,0.04998115710377188
760,0.618,0.636,0.04998103219828076
765,0.618,0.636,0.049980907293413916
770,0.618,0.636,0.04998078238917136
775,0.618,0.635,0.049980657485553096
780,0.618,0.635,0.04998053258255909
785,0.618,0.635,0.049980407680189375
790,0.618,0.635,0.04998028277844391
795,0.618,0.635,0.04998015787732271
800,0.611,0.637,0.04998003297682575
805,0.714,0.642,0.04997990807695307
810,0.668,0.639,0.04997978317770463
815,0.613,0.636,0.049979658279080415
820,0.613,0.635,0.04997953338108045
825,0.618,0.634,0.04997940848370471
830,0.618,0.634,0.049979283586953215
835,0.618,0.634,0.049979158690825934
840,0.618,0.634,0.04997903379532287
845,0.618,0.633,0.04997890890044402
850,0.618,0.633,0.049978784006189374
855,0.618,0.633,0.04997865911255894
860,0.618,0.633,0.0499785342195527
865,0.618,0.633,0.04997840932717067
870,0.618,0.633,0.04997828443541282
875,0.618,0.633,0.04997815954427915
880,0.618,0.633,0.049978034653769675
885,0.618,0.633,0.04997790976388436
890,0.618,0.633,0.04997778487462323
895,0.611,0.642,0.049977659985986266
900,0.609,0.648,0.049977535097973466
905,0.613,0.638,0.04997741021058483
910,0.611,0.635,0.04997728532382033
915,0.611,0.635,0.04997716043767999
920,0.618,0.635,0.04997703555216378
925,0.611,0.635,0.04997691066727172
930,0.618,0.635,0.049976785783003796
935,0.611,0.635,0.04997666089936
940,0.613,0.634,0.049976536016340334
945,0.618,0.634,0.04997641113394478
950,0.611,0.634,0.049976286252173346
955,0.613,0.634,0.04997616137102602
960,0.618,0.634,0.049976036490502806
965,0.613,0.634,0.04997591161060369
970,0.613,0.634,0.04997578673132867
975,0.613,0.634,0.04997566185267775
980,0.618,0.633,0.04997553697465091
985,0.618,0.633,0.04997541209724816
990,0.618,0.633,0.049975287220469476
995,0.618,0.633,0.04997516234431488
1000,0.618,0.633,0.049975037468784345
1005,0.618,0.633,0.049974912593877874
1010,0.618,0.633,0.04997478771959547
1015,0.618,0.633,0.04997466284593711
1020,0.618,0.633,0.04997453797290281
1025,0.618,0.633,0.04997441310049255
1030,0.618,0.633,0.04997428822870634
1035,0.620,0.634,0.04997416335754415
1040,0.611,0.647,0.049974038487006
1045,0.611,0.636,0.049973913617091886
1050,0.611,0.636,0.049973788747801784
1055,0.611,0.635,0.0499736638791357
1060,0.611,0.633,0.04997353901109362
1065,0.618,0.633,0.049973414143675565
1070,0.618,0.633,0.0499732892768815
1075,0.618,0.633,0.04997316441071145
1080,0.618,0.633,0.04997303954516539
1085,0.618,0.632,0.04997291468024331
1090,0.618,0.632,0.04997278981594522
1095,0.618,0.632,0.04997266495227111
1100,0.618,0.632,0.049972540089220974
1105,0.618,0.632,0.049972415226794804
1110,0.618,0.632,0.049972290364992615
1115,0.618,0.632,0.049972165503814385
1120,0.618,0.632,0.0499720406432601
1125,0.618,0.632,0.049971915783329775
1130,0.618,0.632,0.04997179092402339
1135,0.618,0.632,0.04997166606534095
1140,0.618,0.632,0.04997154120728246
1145,0.714,0.640,0.04997141634984789
1150,0.618,0.633,0.04997129149303726
1155,0.618,0.632,0.049971166636850535
1160,0.618,0.632,0.04997104178128775
1165,0.618,0.632,0.04997091692634886
1170,0.618,0.632,0.0499707920720339
1175,0.618,0.632,0.04997066721834284
1180,0.618,0.632,0.04997054236527567
1185,0.618,0.632,0.049970417512832405
1190,0.618,0.632,0.04997029266101303
1195,0.618,0.632,0.04997016780981754
1200,0.618,0.632,0.04997004295924593
1205,0.618,0.631,0.049969918109298204
1210,0.618,0.631,0.04996979325997435
1215,0.618,0.631,0.04996966841127436
1220,0.618,0.631,0.049969543563198236
1225,0.618,0.631,0.049969418715745964
1230,0.618,0.631,0.049969293868917554
1235,0.618,0.631,0.049969169022712985
1240,0.618,0.631,0.04996904417713227
1245,0.618,0.631,0.0499689193321754
1250,0.618,0.631,0.04996879448784234
1255,0.655,0.634,0.049968669644133136
1260,0.611,0.645,0.04996854480104774
1265,0.611,0.638,0.049968419958586176
1270,0.611,0.635,0.04996829511674842
1275,0.618,0.633,0.04996817027553449
1280,0.618,0.631,0.04996804543494436
1285,0.618,0.631,0.049967920594978024
1290,0.618,0.631,0.0499677957556355
1295,0.618,0.631,0.04996767091691676
1300,0.618,0.631,0.04996754607882181
1305,0.618,0.631,0.04996742124135064
1310,0.618,0.631,0.04996729640450326
1315,0.618,0.631,0.04996717156827965
1320,0.618,0.631,0.0499670467326798
1325,0.618,0.631,0.04996692189770373
1330,0.618,0.631,0.0499667970633514
1335,0.618,0.631,0.049966672229622845
1340,0.618,0.631,0.04996654739651803
1345,0.618,0.631,0.049966422564036966
1350,0.618,0.631,0.04996629773217965
1355,0.618,0.631,0.049966172900946064
1360,0.618,0.631,0.049966048070336215
1365,0.618,0.631,0.04996592324035008
1370,0.618,0.631,0.04996579841098768
1375,0.618,0.631,0.04996567358224899
1380,0.231,0.644,0.04996554875413403
1385,0.613,0.631,0.04996542392664277
1390,0.616,0.632,0.04996529909977521
1395,0.643,0.633,0.04996517427353135
1400,0.622,0.632,0.049965049447911185
1405,0.613,0.631,0.049964924622914714
1410,0.618,0.631,0.049964799798541924
1415,0.618,0.631,0.04996467497479282
1420,0.618,0.631,0.0499645501516674
1425,0.618,0.630,0.04996442532916563
1430,0.618,0.630,0.04996430050728755
1435,0.613,0.630,0.04996417568603311
1440,0.613,0.630,0.04996405086540234
1445,0.613,0.630,0.049963926045395235
1450,0.618,0.630,0.04996380122601176
1455,0.618,0.630,0.04996367640725194
1460,0.618,0.630,0.049963551589115744
1465,0.618,0.630,0.04996342677160319
1470,0.618,0.630,0.04996330195471426
1475,0.618,0.630,0.04996317713844897
1480,0.618,0.630,0.04996305232280729
1485,0.613,0.630,0.04996292750778922
1490,0.613,0.630,0.04996280269339477
1495,0.613,0.630,0.04996267787962392
1500,0.613,0.630,0.04996255306647668
1505,0.613,0.630,0.04996242825395303
1510,0.613,0.630,0.04996230344205297
1515,0.618,0.630,0.04996217863077651
1520,0.643,0.632,0.049962053820123614
1525,0.611,0.651,0.049961929010094316
1530,0.618,0.638,0.049961804200688575
1535,0.618,0.635,0.04996167939190641
1540,0.618,0.632,0.049961554583747805
1545,0.618,0.630,0.04996142977621276
1550,0.613,0.630,0.04996130496930128
1555,0.616,0.630,0.04996118016301334
1560,0.613,0.630,0.04996105535734895
1565,0.613,0.630,0.049960930552308096
1570,0.618,0.630,0.04996080574789078
1575,0.618,0.630,0.049960680944096995
1580,0.613,0.630,0.04996055614092674
1585,0.613,0.630,0.04996043133838001
1590,0.613,0.630,0.049960306536456785
1595,0.613,0.630,0.04996018173515709
1600,0.613,0.630,0.049960056934480884
1605,0.613,0.630,0.049959932134428196
1610,0.613,0.630,0.049959807334998996
1615,0.613,0.630,0.04995968253619329
1620,0.613,0.630,0.049959557738011084
1625,0.613,0.630,0.04995943294045235
1630,0.613,0.630,0.04995930814351711
1635,0.613,0.629,0.04995918334720534
1640,0.613,0.629,0.049959058551517034
1645,0.613,0.629,0.04995893375645219
1650,0.613,0.629,0.049958808962010826
1655,0.613,0.629,0.04995868416819291
1660,0.613,0.629,0.049958559374998435
1665,0.616,0.630,0.04995843458242743
1670,0.611,0.644,0.04995830979047985
1675,0.613,0.630,0.04995818499915571
1680,0.618,0.630,0.049958060208455
1685,0.618,0.632,0.04995793541837773
1690,0.618,0.632,0.04995781062892388
1695,0.618,0.630,0.04995768584009344
1700,0.613,0.629,0.04995756105188642
1705,0.616,0.630,0.04995743626430282
1710,0.613,0.630,0.049957311477342614
1715,0.613,0.629,0.0499571866910058
1720,0.613,0.629,0.0499570619052924
1725,0.613,0.629,0.04995693712020239
1730,0.613,0.629,0.04995681233573576
1735,0.613,0.629,0.04995668755189251
1740,0.613,0.629,0.049956562768672635
1745,0.613,0.629,0.049956437986076144
1750,0.613,0.629,0.04995631320410302
1755,0.613,0.629,0.04995618842275325
1760,0.613,0.629,0.04995606364202684
1765,0.613,0.629,0.04995593886192379
1770,0.613,0.629,0.04995581408244408
1775,0.613,0.629,0.049955689303587715
1780,0.613,0.629,0.0499555645253547
1785,0.613,0.629,0.04995543974774502
1790,0.613,0.629,0.04995531497075866
1795,0.613,0.629,0.049955190194395635
1800,0.613,0.629,0.049955065418655915
1805,0.613,0.629,0.04995494064353953
1810,0.613,0.629,0.049954815869046446
1815,0.618,0.631,0.049954691095176675
1820,0.471,0.650,0.04995456632193021
1825,0.723,0.637,0.04995444154930703
1830,0.710,0.634,0.04995431677730716
1835,0.641,0.631,0.04995419200593056
1840,0.613,0.629,0.04995406723517726
1845,0.613,0.629,0.049953942465047224
1850,0.613,0.630,0.04995381769554048
1855,0.613,0.629,0.049953692926656995
1860,0.613,0.629,0.04995356815839677
1865,0.613,0.629,0.04995344339075982
1870,0.613,0.629,0.04995331862374611
1875,0.613,0.629,0.049953193857355666
1880,0.613,0.629,0.04995306909158845
1885,0.613,0.629,0.04995294432644449
1890,0.613,0.629,0.04995281956192377
1895,0.613,0.629,0.049952694798026276
1900,0.613,0.629,0.04995257003475201
1905,0.613,0.629,0.049952445272100965
1910,0.613,0.629,0.049952320510073145
1915,0.613,0.629,0.04995219574866852
1920,0.613,0.629,0.04995207098788712
1925,0.613,0.629,0.04995194622772893
1930,0.613,0.629,0.04995182146819393
1935,0.613,0.629,0.04995169670928213
1940,0.613,0.628,0.049951571950993506
1945,0.613,0.628,0.049951447193328086
1950,0.613,0.628,0.04995132243628583
1955,0.613,0.628,0.04995119767986678
1960,0.613,0.628,0.04995107292407088
1965,0.613,0.628,0.04995094816889814
1970,0.647,0.631,0.04995082341434858
1975,0.611,0.662,0.04995069866042216
1980,0.618,0.643,0.049950573907118906
1985,0.618,0.631,0.049950449154438796
1990,0.616,0.629,0.049950324402381834
1995,0.647,0.631,0.04995019965094801
2000,0.613,0.628,0.04995007490013731
