ts,uid,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,datetime,label_technique,label_tactic,label_binary
"1,664,247,323.171",C4ZzmZ2f5w2jzlMWS3,143.88.20.11,"44,005",143.88.20.12,21,tcp,ftp,0.017,169,230,SF,false,false,0,ShAdDaFf,13,853,8,654,1:8c0GZmpIzXZx+i1Q+W5MhpQQHz0=,"9/26/2022, 7:55:23 PM",T1071,Command and Control,1
"1,664,247,074.333",CIYtJgkWBnc8Gc8fh,143.88.20.11,"40,461",143.88.20.12,"6,697",tcp,-,12.262,134,215,RSTO,false,false,0,ShAdDaR,7,506,5,483,1:YpKRZFvV9vg4HHCazBL7lVI8zlI=,"9/26/2022, 7:51:14 PM",T1071,Command and Control,1
"1,663,787,677.273",CUIN6B26DfonCxJ79j,143.88.5.11,"54,412",143.88.5.12,"40,287",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:O/f8ePZ0mkYE6F8Xmua5B9lz/1M=,"9/21/2022, 12:14:37 PM",T1587,Resource Development,1
"1,663,787,654.491",C7L8Md4MNnPiyjgFre,143.88.5.11,"54,413",143.88.5.12,"46,618",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:viH22xFVi5zKiZW4KdtOYEPyO54=,"9/21/2022, 12:14:14 PM",T1587,Resource Development,1
"1,663,787,694.293",C9s04O2iZAwpaFasUb,143.88.5.11,"54,412",143.88.5.12,"35,325",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:qzWUmUrl8qNLSkPg7ftlMBmKu5w=,"9/21/2022, 12:14:54 PM",T1587,Resource Development,1
"1,663,788,918.648",CuYRTP24dRoq9PRbZc,143.88.5.11,"44,184",143.88.5.12,"2,421",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:9aPsUWcJqHf/kERN6JIEuC8A23Q=,"9/21/2022, 12:35:18 PM",T1587,Resource Development,1
"1,663,788,902.574",CoqD3i4BR1ZeWLRX1g,143.88.5.11,"44,183",143.88.5.12,"56,299",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:ay2vu/g/zkVYn/WcCFDtebO5Cz0=,"9/21/2022, 12:35:02 PM",T1587,Resource Development,1
"1,663,787,693.124",CNfpFV27RW2jUM2T4d,143.88.5.11,"54,412",143.88.5.12,"25,345",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:w9h3quO85m5tzyzvCwB2yQXQWCc=,"9/21/2022, 12:14:53 PM",T1587,Resource Development,1
"1,663,788,940.388",CwbRWJ2goT3NlCqhg1,143.88.5.11,"44,184",143.88.5.12,"25,009",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:6rngx+Wx7KOIoqrA8yKe9pViAKU=,"9/21/2022, 12:35:40 PM",T1587,Resource Development,1
"1,663,787,619.471",CviFhN2qOupvVVf9ya,143.88.5.11,"54,413",143.88.5.12,"19,564",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:TCKG6vk4Nl+0kT7nZHcxEpMLciA=,"9/21/2022, 12:13:39 PM",T1587,Resource Development,1
"1,663,788,924.563",CscRif2qebOGXkdFse,143.88.5.11,"44,183",143.88.5.12,"21,280",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:6o2KppmCYv+c5tZHcjocfSp8tpM=,"9/21/2022, 12:35:24 PM",T1587,Resource Development,1
"1,663,787,657.425",C6yUjo3wgSGA90OOnd,143.88.5.11,"54,413",143.88.5.12,"33,496",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:XS9NaiOmlWefdJL4uzz0JSxuKmw=,"9/21/2022, 12:14:17 PM",T1587,Resource Development,1
"1,663,788,895.202",CWxAe9iHd9hUbHhW6,143.88.5.11,"44,183",143.88.5.12,"34,068",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:8esTID2W8N3fY84g5Ounu+CkISw=,"9/21/2022, 12:34:55 PM",T1587,Resource Development,1
"1,663,788,910.862",CSRgW11xC5RY6tBI9i,143.88.5.11,"44,184",143.88.5.12,"26,739",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:j832gfF4fTxMMp3BHvyFkUz0CKQ=,"9/21/2022, 12:35:10 PM",T1587,Resource Development,1
"1,663,787,632.11",Cz3zEc272KjAnBA2P5,143.88.5.11,"54,412",143.88.5.12,"31,992",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:f5lE9Mxot4ElKocZsn9ouXGZabs=,"9/21/2022, 12:13:52 PM",T1587,Resource Development,1
"1,663,787,668.346",C5UX171Za0Sk9be9E,143.88.5.11,"54,413",143.88.5.12,"55,584",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:Swn1mFof6NfbePWNSTInhqMSX7A=,"9/21/2022, 12:14:28 PM",T1587,Resource Development,1
