==========================================================
Platform = Windows
Tactic to find = all
Using full data.
==========================================================
143.88.4.15,143.88.9.13 added.
143.88.5.17,143.88.10.11 added.
143.88.7.10,143.88.2.12 added.
143.88.2.12,143.88.7.10 added.
143.88.9.18,143.88.4.11 added.
143.88.10.11,143.88.10.14 added.
143.88.2.10,143.88.7.15 added.
143.88.7.15,143.88.2.10 added.
143.88.2.10,143.88.7.11 added.
143.88.2.10,143.88.7.1 added.
143.88.2.10,143.88.7.12 added.
143.88.7.10,143.88.2.10 added.
143.88.2.10,143.88.7.10 added.
143.88.7.12,143.88.2.10 added.
143.88.3.12,143.88.8.12 added.
143.88.2.10,143.88.7.6 added.
143.88.2.10,143.88.7.4 added.
143.88.2.10,143.88.7.9 added.
143.88.2.10,143.88.7.3 added.
143.88.2.10,143.88.7.7 added.
143.88.2.10,143.88.7.8 added.
143.88.2.10,143.88.7.2 added.
143.88.2.10,143.88.7.5 added.
143.88.2.10,143.88.7.20 added.
143.88.2.10,143.88.7.22 added.
143.88.2.10,143.88.7.18 added.
143.88.2.10,143.88.7.17 added.
143.88.2.10,143.88.7.16 added.
143.88.2.10,143.88.7.21 added.
143.88.2.10,143.88.7.19 added.
143.88.2.10,143.88.7.27 added.
143.88.2.10,143.88.7.29 added.
143.88.2.10,143.88.7.34 added.
143.88.2.10,143.88.7.32 added.
143.88.2.10,143.88.7.35 added.
143.88.2.10,143.88.7.31 added.
143.88.2.10,143.88.7.28 added.
143.88.2.10,143.88.7.33 added.
143.88.2.10,143.88.7.36 added.
143.88.2.10,143.88.7.30 added.
143.88.2.10,143.88.7.44 added.
143.88.2.10,143.88.7.42 added.
143.88.2.10,143.88.7.41 added.
143.88.2.10,143.88.7.43 added.
143.88.2.10,143.88.7.45 added.
143.88.2.10,143.88.7.48 added.
143.88.2.10,143.88.7.50 added.
143.88.2.10,143.88.7.47 added.
143.88.2.10,143.88.7.49 added.
143.88.2.10,143.88.7.46 added.
143.88.2.10,143.88.7.56 added.
143.88.2.10,143.88.7.57 added.
143.88.2.10,143.88.7.14 added.
